org_node_id,parent_org_node_id,node_type,node_name,ref_id,path
ORG_SEC_central_services_service_operation_mvc_SITE_balikpapan_WORK_service_operation___balikpapan,ORG_SEC_central_services_service_operation_mvc_SITE_balikpapan,work_location,Service Operation - Balikpapan,WORK_service_operation___balikpapan,HERO > Central Services > Service Operation MVC > Balikpapan > Service Operation - Balikpapan
ORG_SEC_central_services_service_operation_mvc_SITE_balikpapan_WORK_service_operation___ck_bib,ORG_SEC_central_services_service_operation_mvc_SITE_balikpapan,work_location,Service Operation - CK BIB,WORK_service_operation___ck_bib,HERO > Central Services > Service Operation MVC > Balikpapan > Service Operation - CK BIB
ORG_SEC_central_services_service_operation_mvc_SITE_balikpapan_WORK_service_operation___ck_dmp_lahat,ORG_SEC_central_services_service_operation_mvc_SITE_balikpapan,work_location,Service Operation - CK DMP Lahat,WORK_service_operation___ck_dmp_lahat,HERO > Central Services > Service Operation MVC > Balikpapan > Service Operation - CK DMP Lahat
ORG_SEC_central_services_service_operation_mvc_SITE_balikpapan_WORK_service_operation___gresik,ORG_SEC_central_services_service_operation_mvc_SITE_balikpapan,work_location,Service Operation - Gresik,WORK_service_operation___gresik,HERO > Central Services > Service Operation MVC > Balikpapan > Service Operation - Gresik
ORG_SEC_central_services_service_operation_mvc_SITE_ck_bib,ORG_SEC_central_services_service_operation_mvc,site,CK BIB,SITE_ck_bib,HERO > Central Services > Service Operation MVC > CK BIB
ORG_SEC_central_services_service_operation_mvc_SITE_ck_bib_WORK_service_operation___amm_mifa_holing,ORG_SEC_central_services_service_operation_mvc_SITE_ck_bib,work_location,Service Operation - AMM Mifa Holing,WORK_service_operation___amm_mifa_holing,HERO > Central Services > Service Operation MVC > CK BIB > Service Operation - AMM Mifa Holing
ORG_SEC_central_services_service_operation_mvc_SITE_ck_bib_WORK_service_operation___amm_tabang,ORG_SEC_central_services_service_operation_mvc_SITE_ck_bib,work_location,Service Operation - AMM Tabang,WORK_service_operation___amm_tabang,HERO > Central Services > Service Operation MVC > CK BIB > Service Operation - AMM Tabang
ORG_SEC_central_services_service_operation_mvc_SITE_ck_bib_WORK_service_operation___balikpapan,ORG_SEC_central_services_service_operation_mvc_SITE_ck_bib,work_location,Service Operation - Balikpapan,WORK_service_operation___balikpapan,HERO > Central Services > Service Operation MVC > CK BIB > Service Operation - Balikpapan
ORG_SEC_central_services_service_operation_mvc_SITE_ck_bib_WORK_service_operation___ck_bib,ORG_SEC_central_services_service_operation_mvc_SITE_ck_bib,work_location,Service Operation - CK BIB,WORK_service_operation___ck_bib,HERO > Central Services > Service Operation MVC > CK BIB > Service Operation - CK BIB
ORG_SEC_central_services_service_operation_mvc_SITE_ck_bib_WORK_service_operation___ck_bmb,ORG_SEC_central_services_service_operation_mvc_SITE_ck_bib,work_location,Service Operation - CK BMB,WORK_service_operation___ck_bmb,HERO > Central Services > Service Operation MVC > CK BIB > Service Operation - CK BMB
